tau_s,tau_m,answerable_retention,unanswerable_refusal,balanced_abstention_accuracy
-2.5,4.5,0.9636363636363636,0.9333333333333333,0.9484848484848485
-2.5,5.0,0.9563636363636364,0.9333333333333333,0.9448484848484848
-2.0,-5.0,0.9854545454545455,0.9333333333333333,0.9593939393939395
-2.0,-4.5,0.9854545454545455,0.9333333333333333,0.9593939393939395
-2.0,-4.0,0.9854545454545455,0.9333333333333333,0.9593939393939395
-2.0,-3.5,0.9854545454545455,0.9333333333333333,0.9593939393939395
-2.0,-3.0,0.9854545454545455,0.9333333333333333,0.9593939393939395
-2.0,-2.5,0.9854545454545455,0.9333333333333333,0.9593939393939395
-2.0,-2.0,0.9854545454545455,0.9333333333333333,0.9593939393939395
-2.0,-1.5,0.9854545454545455,0.9333333333333333,0.9593939393939395
-2.0,-1.0,0.9854545454545455,0.9333333333333333,0.9593939393939395
-2.0,-0.5,0.9854545454545455,0.9333333333333333,0.9593939393939395
-2.0,0.0,0.9854545454545455,0.9333333333333333,0.9593939393939395
-2.0,0.5,0.9854545454545455,0.9333333333333333,0.9593939393939395
-2.0,1.0,0.9854545454545455,0.9333333333333333,0.9593939393939395
-2.0,1.5,0.9854545454545455,0.9333333333333333,0.9593939393939395
-2.0,2.0,0.9854545454545455,0.9333333333333333,0.9593939393939395
-2.0,2.5,0.9854545454545455,0.9333333333333333,0.9593939393939395
-2.0,3.0,0.9854545454545455,0.9333333333333333,0.9593939393939395
-2.0,3.5,0.9781818181818182,0.9333333333333333,0.9557575757575758
-2.0,4.0,0.9709090909090909,0.9333333333333333,0.9521212121212121
-2.0,4.5,0.9636363636363636,0.9333333333333333,0.9484848484848485
-2.0,5.0,0.9563636363636364,0.9333333333333333,0.9448484848484848
-1.5,-5.0,0.9781818181818182,0.9333333333333333,0.9557575757575758
-1.5,-4.5,0.9781818181818182,0.9333333333333333,0.9557575757575758
-1.5,-4.0,0.9781818181818182,0.9333333333333333,0.9557575757575758
-1.5,-3.5,0.9781818181818182,0.9333333333333333,0.9557575757575758
-1.5,-3.0,0.9781818181818182,0.9333333333333333,0.9557575757575758
-1.5,-2.5,0.9781818181818182,0.9333333333333333,0.9557575757575758
-1.5,-2.0,0.9781818181818182,0.9333333333333333,0.9557575757575758
-1.5,-1.5,0.9781818181818182,0.9333333333333333,0.9557575757575758
-1.5,-1.0,0.9781818181818182,0.9333333333333333,0.9557575757575758
-1.5,-0.5,0.9781818181818182,0.9333333333333333,0.9557575757575758
-1.5,0.0,0.9781818181818182,0.9333333333333333,0.9557575757575758
-1.5,0.5,0.9781818181818182,0.9333333333333333,0.9557575757575758
-1.5,1.0,0.9781818181818182,0.9333333333333333,0.9557575757575758
-1.5,1.5,0.9781818181818182,0.9333333333333333,0.9557575757575758
-1.5,2.0,0.9781818181818182,0.9333333333333333,0.9557575757575758
-1.5,2.5,0.9781818181818182,0.9333333333333333,0.9557575757575758
-1.5,3.0,0.9781818181818182,0.9333333333333333,0.9557575757575758
-1.5,3.5,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.5,4.0,0.9672727272727273,0.9333333333333333,0.9503030303030303
-1.5,4.5,0.96,0.9333333333333333,0.9466666666666667
-1.5,5.0,0.9527272727272728,0.9333333333333333,0.9430303030303031
-1.0,-5.0,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.0,-4.5,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.0,-4.0,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.0,-3.5,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.0,-3.0,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.0,-2.5,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.0,-2.0,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.0,-1.5,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.0,-1.0,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.0,-0.5,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.0,0.0,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.0,0.5,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.0,1.0,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.0,1.5,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.0,2.0,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.0,2.5,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.0,3.0,0.9745454545454545,0.9333333333333333,0.9539393939393939
-1.0,3.5,0.9709090909090909,0.9333333333333333,0.9521212121212121
-1.0,4.0,0.9636363636363636,0.9333333333333333,0.9484848484848485
-1.0,4.5,0.96,0.9333333333333333,0.9466666666666667
-1.0,5.0,0.9527272727272728,0.9333333333333333,0.9430303030303031
-0.5,-5.0,0.9636363636363636,0.9666666666666667,0.9651515151515151
-0.5,-4.5,0.9636363636363636,0.9666666666666667,0.9651515151515151
-0.5,-4.0,0.9636363636363636,0.9666666666666667,0.9651515151515151
-0.5,-3.5,0.9636363636363636,0.9666666666666667,0.9651515151515151
-0.5,-3.0,0.9636363636363636,0.9666666666666667,0.9651515151515151
-0.5,-2.5,0.9636363636363636,0.9666666666666667,0.9651515151515151
-0.5,-2.0,0.9636363636363636,0.9666666666666667,0.9651515151515151
-0.5,-1.5,0.9636363636363636,0.9666666666666667,0.9651515151515151
-0.5,-1.0,0.9636363636363636,0.9666666666666667,0.9651515151515151
-0.5,-0.5,0.9636363636363636,0.9666666666666667,0.9651515151515151
-0.5,0.0,0.9636363636363636,0.9666666666666667,0.9651515151515151
-0.5,0.5,0.9636363636363636,0.9666666666666667,0.9651515151515151
-0.5,1.0,0.9636363636363636,0.9666666666666667,0.9651515151515151
-0.5,1.5,0.9636363636363636,0.9666666666666667,0.9651515151515151
-0.5,2.0,0.9636363636363636,0.9666666666666667,0.9651515151515151
