dataset,seed,system,n_total,n_answerable,n_unanswerable,coverage_all,coverage_answerable,false_refusal_answerable,refusal_unanswerable,hallucination_unanswerable,answer_retention,balanced_abstention_accuracy,refusal_precision,refusal_recall,refusal_f1,f1_all_answerable,em_all_answerable,f1_answered_only,em_answered_only,citation_when_answered
squad,20260513,AutoRAG,420,205,215,0.42142857142857143,0.551219512195122,0.3951219512195122,0.6,0.4,0.6048780487804878,0.6024390243902439,0.6142857142857143,0.6,0.6070588235294118,0.11668252281132259,0.01951219512195122,0.2116806829762932,0.035398230088495575,0.9646017699115044
squad,20260513,RAG+Rerank+Abstain,420,205,215,0.4523809523809524,0.5658536585365853,0.43414634146341463,0.6558139534883721,0.3441860465116279,0.5658536585365854,0.6108338060124787,0.6130434782608696,0.6558139534883721,0.6337078651685393,0.10663073562497048,0.014634146341463415,0.18844224830274955,0.02586206896551724,0.9568965517241379
squad,20260514,BM25,420,199,221,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.15367671324028,0.010050251256281407,0.15367671324028,0.010050251256281407,0.7537688442211056
squad,20260514,NaiveRAG,420,199,221,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.14400040846370135,0.005025125628140704,0.14400040846370135,0.005025125628140704,0.7085427135678392
squad,20260514,RAG+Rerank,420,199,221,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.16252320259893446,0.005025125628140704,0.16252320259893446,0.005025125628140704,0.864321608040201
squad,20260514,AutoRAG,420,199,221,0.45,0.5678391959798995,0.4321608040201005,0.6561085972850679,0.3438914027149321,0.5678391959798995,0.6119738966324837,0.6277056277056277,0.6561085972850679,0.6415929203539823,0.09980859462982879,0.010050251256281407,0.17576911797642414,0.017699115044247787,0.9469026548672567
squad,20260514,RAG+Rerank+Abstain,420,199,221,0.40714285714285714,0.5175879396984925,0.4824120603015075,0.6923076923076923,0.3076923076923077,0.5175879396984925,0.6049478160030923,0.6144578313253012,0.6923076923076923,0.6510638297872341,0.08757883182108411,0.005025125628140704,0.1692057041980169,0.009708737864077669,0.912621359223301
squad,20260515,BM25,420,206,214,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.16277137452709553,0.03398058252427184,0.16277137452709553,0.03398058252427184,0.7912621359223301
squad,20260515,NaiveRAG,420,206,214,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.15220635081744702,0.02912621359223301,0.15220635081744702,0.02912621359223301,0.7233009708737864
squad,20260515,RAG+Rerank,420,206,214,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.17921982838989717,0.03398058252427184,0.17921982838989717,0.03398058252427184,0.9077669902912622
squad,20260515,AutoRAG,420,206,214,0.4380952380952381,0.5728155339805825,0.42718446601941745,0.6915887850467289,0.30841121495327106,0.5728155339805825,0.6322021595136558,0.6271186440677966,0.6915887850467289,0.6577777777777778,0.12047361834086372,0.02912621359223301,0.21031835066286378,0.05084745762711865,0.9661016949152542
squad,20260515,RAG+Rerank+Abstain,420,206,214,0.36904761904761907,0.48058252427184467,0.5194174757281553,0.7383177570093458,0.26168224299065423,0.48058252427184467,0.6094501406405952,0.5962264150943396,0.7383177570093458,0.6597077244258873,0.10225975846509634,0.019417475728155338,0.21278293175565502,0.04040404040404041,0.98989898989899
enterprise,20260511,BM25,183,164,19,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.304530457000433,0.006097560975609756,0.304530457000433,0.006097560975609756,0.8780487804878049
enterprise,20260511,NaiveRAG,183,164,19,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.31639915833455945,0.006097560975609756,0.31639915833455945,0.006097560975609756,0.9573170731707317
enterprise,20260511,RAG+Rerank,183,164,19,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.3253540205989532,0.006097560975609756,0.3253540205989532,0.006097560975609756,0.9695121951219512
